,Unnamed: 0,brand,name,attribute,product_url,search_name,price,capacity,keyword,keyword_scent,new_name,search_name_1,1st_similar_perfume,2nd_similar_perfume,3rd_similar_perfume,4th_similar_perfume,5th_similar_perfume
294,,프라고나르,벨드뉘,"가드니아와 붓꽃이 어울린 단정함 , 디올 쟈도르보다 조금 더 차분한 아름다움",/product/프라고나르-벨-드-뉘-5060ml/1882/category/568/display/1/,프라고나르 벨드뉘,110000,50,"가드니아,붓꽃,자도르","가드니아,붓꽃,자도르",벨드뉘,프라고나르 벨드뉘,아닉구딸 엉마뗑도하쥬,,크리드 플뢰르드가드니아,구찌 플로라고져스가드니아,메모 일하도멜
296,,데렉램10크로스비,러브디럭스오드퍼퓸,비가 그친 뒤 잔뜩 날이 서 있는 정원에서 가장 사랑스럽게 핀 꽃의 담백함,/product/데렉-램-10-크로스비-러브디럭스-오-드-퍼퓸-50100ml/1880/category/568/display/1/,데렉램10크로스비 러브디럭스오드퍼퓸,83000,50,"정원,사랑",정원,러브디럭스,데렉램10크로스비 러브디럭스,아닉구딸 엉마뗑도하쥬,구딸파리 쁘띠쉐리,아닉구딸 쁘띠쉐리,,
297,,에트로,비콜로피오리오드뚜왈렛,고급스런 모던함의 벨 플라워가 상대방을 휘감는 매력,/product/에트로-비콜로피오리-오-드-뚜왈렛-50100ml/1873/category/568/display/1/,에트로 비콜로피오리오드뚜왈렛,104000,50,"모던,플로럴,매력","모던,플로럴",비콜로피오리,에트로 비콜로피오리,아이젠버그 디아볼리끄옴므,,메종마르지엘라 플라워마켓,,킬리안 우먼인골드
298,,구딸파리,로즈폼퐁오드퍼퓸,검정색 단발의 탕웨이가 생각나는 고급미 넘치는 담백한 장미향기,/product/구딸파리-로즈폼퐁-오-드-퍼퓸/1860/category/568/display/1/,구딸파리 로즈폼퐁오드퍼퓸,198000,50,"검정색,고급,로즈","고급,로즈",로즈폼퐁,구딸파리 로즈폼퐁,아닉구딸 로즈폼퐁,프라고나르 로즈드메이,딥디크 오로즈,끌로에 로즈드끌로에,
300,,트루사르디,르비드밀라노비하인드커튼스칼라오드퍼퓸,막내린 극장에서 연습하는 배우의 열정 가득한 클로브 레더,/product/트루사르디-르비드-밀라노-비하인드-커튼-스칼라-오-드-퍼퓸-100ml/1822/category/568/display/1/,트루사르디 르비드밀라노비하인드커튼스칼라오드퍼퓸,280000,100,"극장,열정,클로브,레더","열정,클로브,레더",르비드밀라노비하인드커튼스칼라,트루사르디 르비드밀라노비하인드커튼스칼라,메종마르지엘라 뮤직페스티벌,,,메모 이탈리안레더,
301,,트루사르디,르비드밀라노갤러리아비토리오에마누엘레세오드퍼퓸,자신감 넘치는 관능미의 바닐라 모카향기,/product/트루사르디-르비드-밀라노-갤러리아-비토리오-에마누엘레-2세-오-드-퍼퓸-100ml/1820/category/568/display/1/,트루사르디 르비드밀라노갤러리아비토리오에마누엘레세오드퍼퓸,280000,100,"자신감,관능,바닐라,모카","바닐라,모카",르비드밀라노갤러리아비토리오에마누엘레세,트루사르디 르비드밀라노갤러리아비토리오에마누엘레세,프라다 캔디키스,,,바이레도 집시워터,롤리타렘피카 옴므
302,,트루사르디,르비드밀라노비아델라스피가오드퍼퓸,애플과 허니크림의 럭셔리하고 귀족적인 부드러움,/product/트루사르디-르비드-밀라노-비아-델라-스피가-오-드-퍼퓸-100ml/1819/category/568/display/1/,트루사르디 르비드밀라노비아델라스피가오드퍼퓸,280000,100,"애플,허니,럭셔리,귀족,부드러움","애플,허니,럭셔리,부드러움",르비드밀라노비아델라스피가,트루사르디 르비드밀라노비아델라스피가,랄프로렌 폴로,시슬리 오뒤스와르,메종마르지엘라 재즈클럽,몽블랑 레전드나이트,조말론 잉글리쉬페어앤프리지아코롱
303,,샤보,에뜨왈드룬오드퍼퓸,햇살을 잘게 부순듯한 파우더에서 날것 같은 오렌지블로썸의 나긋한 향기,/product/샤보-에뜨왈-드-룬-오-드-퍼퓸-30ml/1787/category/568/display/1/,샤보 에뜨왈드룬오드퍼퓸,125000,30,"햇살,파우더,오렌지블라썸","햇살,파우더,오렌지블라썸",에뜨왈드룬,샤보 에뜨왈드룬,디올 조이바이디올,트루사르디 돈나,입생로랑 리브르,,불가리 쁘띠마망
308,,데렉램10크로스비,사일런트스트리트오드퍼퓸,더운여름날 흰색시스루 티셔츠와 청바지를 가볍게 입은 듯한 파우더한 향기,/product/데렉-램-10-크로스비-사일런트-스트리트-오-드-퍼퓸-1050100ml/1668/category/568/display/1/,데렉램10크로스비 사일런트스트리트오드퍼퓸,37000,10,"여름날,흰색,시스루,티셔츠,청바지,파우더","여름날,흰색,파우더",사일런트스트리트,데렉램10크로스비 사일런트스트리트,불가리 쁘띠마망,,더디퍼런트컴퍼니 퓨어이브,롤리타렘피카 몽,
309,,샤보,이노센트프라질리테오드퍼퓸,"꽃비누로 깨끗히 씻은 후, 수건만 가볍게 두르고 나온 듯한 순수+관능미",/product/샤보-이노센트-프라질리테-오-드-퍼퓸-30ml/1578/category/568/display/1/,샤보 이노센트프라질리테오드퍼퓸,155000,30,"비누,수건,순수,관능",비누,이노센트프라질리테,샤보 이노센트프라질리테,산타마리아노벨라 프리지아오드코롱,아쿠아디파르마 미르토디파나레아,메종마르지엘라 레이지선데이모닝,에트로 우다이푸르,
310,,구찌,길티블랙뿌르옴므오드뚜왈렛,여자들의 취향을 잘 이해할것 같은 세련되고 남자다운 향기,/product/구찌-길티-블랙-뿌르옴므-오-드-뚜왈렛/1560/category/568/display/1/,구찌 길티블랙뿌르옴므오드뚜왈렛,97000,50,"센스,남자다운",,길티블랙뿌르옴므,구찌 길티블랙뿌르옴므,누NOU 에이버리,버버리 런던포맨,,,
311,,펜할리곤스,앤디미온꽁상뜨레오드퍼퓸,그윽하고 스모키한 커피원두 기반의 남성적이고 세련된 향기,/product/펜할리곤스-앤디미온-꽁상뜨레-오-드-퍼퓸-100ml/1502/category/568/display/1/,펜할리곤스 앤디미온꽁상뜨레오드퍼퓸,270000,100,"그윽,스모키,커피,남성","그윽,스모키,커피",앤디미온꽁상뜨레,펜할리곤스 앤디미온꽁상뜨레,에르메스 오드시트론느와오드코롱,,크리드 어벤투스,,장폴고티에 르말
312,,세르주루텐,페미니떼드부아오드퍼퓸,"세르주루텐의 첫 작품, 오리엔탈 계열의 삼나무와 클로브가 묘사하는 관능적인 여성성의 끝",/product/세르주루텐-페미니떼드부아-오-드-퍼퓸/1499/category/568/display/1/,세르주루텐 페미니떼드부아오드퍼퓸,205000,50,"세르주루텐,오리엔탈,삼나무,클로브,관능,여성성","세르주루텐,삼나무,클로브",페미니떼드부아,세르주루텐 페미니떼드부아,장폴고티에 클래식,프레드릭엠 오베드상,세르주루텐 라휘드베흘랑,,
316,,아베크롬비앤피치,피어스맨오드코롱,아베크롬비 본사를 대표하는 시그니쳐 남자향수,/product/아베크롬비앤피치-피어스-맨-오-드-코롱-50100200ml/1397/category/568/display/1/,아베크롬비앤피치 피어스맨오드코롱,123000,50,"아베크롬비,남성",,피어스맨오드코롱,아베크롬비앤피치 피어스맨오드코롱,입생로랑 라뉘드옴므,구찌 길티뿌르옴므,퍼퓸드말리 퍼시벌,조르지오 아르마니아쿠아디지오뿌르옴므,
318,,나르시소로드리게즈,푸드레오드퍼퓸,"부드러운 달콤함으로 샤워한 듯, 뽀송한 비누",/product/나르시소-로드리게즈-푸드레-오-드-퍼퓸-305090ml/1347/category/568/display/1/,나르시소로드리게즈 푸드레오드퍼퓸,85000,30,"샤워,비누,달콤","비누,달콤",푸드레,나르시소로드리게즈 푸드레,아이젠버그 조즈옴므,메종마르지엘라 레이지선데이모닝,아쿠아디파르마 미르토디파나레아,에트로 우다이푸르,
319,,불리,오트리쁠공원에서의대화,"공원에서 마주한 가장 순수한 싱그러움, 가장 일상적이고 산뜻한 자연 그대로의 향기",/product/불리-오-트리쁠-공원에서의-대화-75ml/2379/category/568/display/1/,불리 오트리쁠공원에서의대화,230000,75,"공원,일상,자연,순수","공원,자연",오트리쁠공원에서의대화,불리 오트리쁠공원에서의대화,글로시에 글로시에유,프라다 루나로사블랙,크리드 바이킹,,
321,,겔랑,라쁘띠로브느와르레제르오드퍼퓸,블랙체리의 세련됨이 가미된 2018년 신작 플랭커,/product/겔랑-라쁘띠-로브-느와르-레제르-오-드-퍼퓸-50ml/1544/category/568/display/1/,겔랑 라쁘띠로브느와르레제르오드퍼퓸,110000,50,"블랙체리,플랭커","블랙체리,플랭커",라쁘띠로브느와르레제르,겔랑 라쁘띠로브느와르레제르,케네스콜 블루,,,,톰포드 코스타아주라
322,,미우미우,로블루오드퍼퓸,청량한 하늘의 푸르름을 담은 이슬먹은 은방울꽃,/product/미우미우-로블루-오-드-퍼퓸/1678/category/568/display/1/,미우미우 로블루오드퍼퓸,165000,100,"하늘,푸른,이슬,은방울꽃","하늘,푸른,이슬,은방울꽃",로블루,미우미우 로블루,킬리안 문라이트인헤븐,,분더샵 인피니트썬,,
326,,로이비,베르가못앤화이트로즈오드퍼퓸,"쁘띠쉐리를 차분하게 닮은, 아삭한 배와 로즈가 얽혀 연출하는 차분한 조화",/product/로이비-베르가못-앤-화이트로즈-오-드-퍼퓸-50ml/2291/category/568/display/1/,로이비 베르가못앤화이트로즈오드퍼퓸,109000,50,"쁘띠쉐리,로즈","쁘띠쉐리,로즈",베르가못앤화이트로즈,로이비 베르가못앤화이트로즈,프라고나르 로즈드메이,딥디크 오로즈,,끌로에 로즈드끌로에,
327,,오리베,코트다쥐르오드퍼퓸,"청량한 레몬이 시클라멘 꽃 위에 누워 파도를 타듯, 일렁이는 햇살 속에 젖어드는 낭만의 향기",/product/오리베-코트-다쥐르-오-드-퍼퓸-75ml/2287/category/568/display/1/,오리베 코트다쥐르오드퍼퓸,169000,75,"레몬,시클라멘,파도,햇살,낭만","레몬,시클라멘,파도,햇살",코트다쥐르,오리베 코트다쥐르,에르메스 오도랑쥬베르트오드코롱,프라다 캔디슈가팝,메종마르지엘라 언더더레몬트리,,크리드 로얄워터
329,,발렌티노,발렌티나우먼오드퍼퓸,첫 데이트에 가장 잘 어울릴 것 같은 여성스러운 향기,/product/발렌티노-발렌티나-우먼-오-드-퍼퓸/1570/category/568/display/1/,발렌티노 발렌티나우먼오드퍼퓸,160000,50,"데이트,여성",,발렌티나우먼,발렌티노 발렌티나우먼,끌로에 압솔뤼퍼퓸,랄프로렌 폴로랄프우먼,,,랑콤 미라클
331,,조말론,와일드블루벨코롱,연보랏빛 샴푸 향기가 주변을 같은 색으로 은은하게 물들이는 아름다움,/product/조말론-와일드-블루벨-코롱/1557/category/568/display/1/,조말론 와일드블루벨코롱,110000,30,"보라색,샴푸",샴푸,와일드블루벨코롱,조말론 와일드블루벨코롱,누NOU 시크릿블랑,,살바도르 달리달리라이트,트루사르디 페미닌,
338,,반클리프엔아펠,오키데바니유오드퍼퓸,"아스라이 퍼지는 달콤함에 취하는 슈가러쉬, 다크 초콜릿과 바닐라의 향연이 온 몸을 저릿하게 만드는 순간",/product/반클리프-앤-아펠-오키데-바니유-오-드-퍼퓸/2572/category/568/display/1/,반클리프엔아펠 오키데바니유오드퍼퓸,195000,75,"슈가러쉬,다크,초콜릿,바닐라","슈가러쉬,다크,초콜릿,바닐라",오키데바니유,반클리프엔아펠 오키데바니유,프라다 캔디키스,나르시소로드리게즈 엉브레,롤리타렘피카 옴므,,바이레도 집시워터
342,,에트로,샨텅오드퍼퓸,얇은 피오니 꽃잎이 블랙커런트와 연출하는 담백한 관능미,/product/에트로-샨텅-오-드-퍼퓸-100ml/1840/category/568/display/1/,에트로 샨텅오드퍼퓸,150000,100,"피오니,꽃잎,블랙커런트,관능","피오니,꽃잎,블랙커런트",샨텅,에트로 샨텅,미스디올 앱솔루틀리블루밍,,산타마리아노벨라 아이리스,,
345,,메종마르지엘라,스프링타임인어파크,풍성하게 핀 하얀 꽃나무 아래서 가까워진 봄을 알아차리게 하는 향기,/product/메종-마르지엘라-스프링타임-인-어-파크/1827/category/568/display/1/,메종마르지엘라 스프링타임인어파크,185000,100,"꽃나무,봄","꽃나무,봄",스프링타임인어파크,메종마르지엘라 스프링타임인어파크,산타마리아노벨라 아이리스,,,,
349,,에르메스,운자르뎅수르라라군오드뚜왈렛,따뜻한 돌담길 너머에 아늑하게 핀 백합과 나무 그리고 정원,/product/에르메스-운-자르뎅-수르-라-라군-오-드-뚜왈렛-30ml/1800/category/568/display/1/,에르메스 운자르뎅수르라라군오드뚜왈렛,129000,30,"돌담,백합,나무,정원","백합,나무,정원",운자르뎅수르라라군,에르메스 운자르뎅수르라라군,르페르소나 LP우든페이스,,,세르주루텐 라비에르쥐드페,
350,,에르메스,떼르데르메스퓨어퍼퓸,묵직한 송진과 나무가 어울려 클래식하고 단단한 남성미 연출,/product/에르메스-떼르-데르메스-퓨어-퍼퓸/1804/category/568/display/1/,에르메스 떼르데르메스퓨어퍼퓸,175000,75,"송진,나무,클래식,남성미","송진,나무,클래식",떼르데르메스퓨어퍼퓸,에르메스 떼르데르메스퓨어퍼퓸,에르메스 떼르데르메스,,,본드 넘버나인차이나타운,프라다 캔디
351,,반클리프엔아펠,캘리포니아레브리오드퍼퓸,"늦여름 낙조의 만다린을 따스히 감싸는 화이트 자스민, 아늑한 바닐라 향취",/product/반클리프-앤-아펠-캘리포니아-레브리-오-드-퍼퓸/2516/category/568/display/1/,반클리프엔아펠 캘리포니아레브리오드퍼퓸,198000,75,"여름,낙조,만다린,화이트,자스민,바닐라","여름,만다린,화이트,자스민,바닐라",캘리포니아레브리,반클리프엔아펠 캘리포니아레브리,메모 그라나다,,,,
352,,빅터앤롤프,플라워밤넥타린오드퍼퓸,"서양에서 정말 인기있는 플라워밤의 신작, 핑크 부케에 화사하게 드레싱된 꿀 향기",/product/빅터앤롤프-플라워밤-넥타린-오-드-퍼퓸-50ml/1539/category/568/display/1/,빅터앤롤프 플라워밤넥타린오드퍼퓸,135000,50,"플로럴,핑크,부케,드레싱","플로럴,핑크,부케",플라워밤넥타린,빅터앤롤프 플라워밤넥타린,에스티로더 모던뮤즈,메종마르지엘라 플라워마켓,,,나르시소로드리게즈 플레르머스크포허
354,,킬리안,불레이부쿠셔아베끄모아(나랑잘래)오드퍼퓸,"침대 위의 연인, 서로를 포근하게 끌어안은 온기만큼 몽글하게 퍼지는 화이트 플로럴-머스크",/product/킬리안-불레이-부-쿠셔-아베끄-모아-나랑잘래-오-드-퍼퓸-50ml/2246/category/568/display/1/,킬리안 불레이부쿠셔아베끄모아(나랑잘래)오드퍼퓸,328000,50,"침대,연인,온기,화이트플로럴,머스크","온기,화이트플로럴,머스크",불레이부쿠셔아베끄모아(나랑잘래),킬리안 불레이부쿠셔아베끄모아(나랑잘래),프레데릭말 뮤스크라바줴,,더디퍼런트컴퍼니 애프터미드나잇,나르시소로드리게즈 포허,톰포드 솔레이네쥬
356,,구찌,플로라고져스가드니아리미티드에디션,"달콤한 레드베리를 가드니아에 휘감아놓은, 여성스러움이 한껏 극대화된 섹시미",/product/구찌-플로라-고져스-가드니아-리미티드-에디션/2557/category/568/display/1/,구찌 플로라고져스가드니아리미티드에디션,149000,50,"레드베리,가드니아,여성,섹시","레드베리,가드니아",플로라고져스가드니아리미티드에디션,구찌 플로라고져스가드니아리미티드에디션,구찌 플로라고져스가드니아,,랑콤 미라클,,프레데릭말 뮤스크라바줴
366,,불리,오트리쁠승리의여신니케,"공중의 바람을 타고 불어온 튜베로즈, 목련 그리고 장미의 촉촉 하늘하늘한 향기",/product/불리-오-트리쁠-승리의-여신-니케-75ml/2380/category/568/display/1/,불리 오트리쁠승리의여신니케,230000,75,"공중,바람,튜베로즈,목련,로즈,촉촉","바람,튜베로즈,목련,로즈,촉촉",오트리쁠승리의여신니케,불리 오트리쁠승리의여신니케,구찌 블룸암브로시아디피오리,딥디크 오로즈,프라고나르 로즈드메이,크리드 러브인화이트,
367,,조말론,허니서클앤다바나코롱,연노랑빛 쉬폰 드레스 자락처럼 마음을 살랑살랑 간질일 것 같은 다바나 향기,/product/조말론-허니서클-앤-다바나-코롱/2330/category/568/display/1/,조말론 허니서클앤다바나코롱,110000,30,"노랑,쉬폰드레스,다바나","노랑,다바나",허니서클앤다바나코롱,조말론 허니서클앤다바나코롱,딥디크 오모헬리,,,,
368,,조말론,포피앤바알리코롱,"보리수의 달콤함 위로 블랙커런트 이슬이 스며드는 양귀비, 한 폭의 낭만을 완성짓는 향기",/product/조말론-포피-앤-바알리-코롱/2277/category/568/display/1/,조말론 포피앤바알리코롱,110000,30,"보리수,달콤,블랙커런트,이슬,양귀비,낭만","달콤,블랙커런트,이슬,양귀비",포피앤바알리코롱,조말론 포피앤바알리코롱,스테파니브루진 큐피동,아이젠버그 조즈옴므,,,본드 넘버나인차이나타운
369,,조말론,프랑지파니플라워코롱,봄바람을 탄 프랑지파니 꽃잎이 천천히 유영하듯 흐르는 하얀 아름다움,/product/조말론-프랑지파니-플라워-코롱-30ml/2114/category/568/display/1/,조말론 프랑지파니플라워코롱,110000,30,"봄바람,프랑지파니,꽃잎,유영","봄바람,프랑지파니,꽃잎",프랑지파니플라워코롱,조말론 프랑지파니플라워코롱,미스디올 앱솔루틀리블루밍,산타마리아노벨라 아이리스,,,
371,,조말론,머르앤통카코롱인텐스,"그 남자의 사랑법, 통카빈을 감싸 안은 따뜻한 머르 나무에서 느껴지는 자상함",/product/조말론-머르-앤-통카-코롱-인텐스/2263/category/568/display/1/,조말론 머르앤통카코롱인텐스,218000,50,"남성,사랑,통카빈,머르나무","통카빈,머르나무",머르앤통카코롱인텐스,조말론 머르앤통카코롱인텐스,크리드 실버마운틴워터,,구딸파리 쁘띠쉐리,크리드 어벤투스,
372,,조말론,튜버로즈안젤리카코롱인텐스,"네추럴 와인을 한모금 머금은 튜베로즈, 스며든 설렘이 안젤리카 땅속으로 차분히 자리하는 향기",/product/조말론-튜버로즈-안젤리카-코롱-인텐스-50ml/2275/category/568/display/1/,조말론 튜버로즈안젤리카코롱인텐스,218000,50,"네추럴,와인,모금,튜베로즈,땅속","네추럴,와인,튜베로즈,땅속",튜버로즈안젤리카코롱인텐스,조말론 튜버로즈안젤리카코롱인텐스,프레데릭말 카날플라워,조르지오 아르마니마이웨이,,,구찌 블룸
373,,조말론,벨벳로즈앤오드코롱인텐스,"향락적이고 뇌쇄적인 스모키 로즈, 벨벳처럼 보드라운 아로마틱 오우드의 안락",/product/조말론-벨벳-로즈-앤-오드-코롱-인텐스/2579/category/568/display/1/,조말론 벨벳로즈앤오드코롱인텐스,218000,50,"뇌쇄적,스모키,벨벳,아로마,우드,안락","스모키,벨벳,아로마,우드",벨벳로즈앤오드코롱인텐스,조말론 벨벳로즈앤오드코롱인텐스,아이젠버그 디아볼리끄우먼,바이레도 어코드우드,,바이레도 집시워터,아이젠버그 아이엠우먼
375,,에르메스,운자르뎅아프레라무쏭오드뚜왈렛,"갑자기 내린 여우비에, 촉촉한 꽃내음과 물내음 섞인 메론향기가 피어났던 한적한 프랑스 정원",/product/에르메스-운-자르뎅-아프레-라-무쏭-오-드-뚜왈렛/2468/category/568/display/1/,에르메스 운자르뎅아프레라무쏭오드뚜왈렛,175000,50,"여우비,촉촉,꽃내음,멜론,프랑스,정원","여우비,촉촉,꽃내음,멜론,정원",운자르뎅아프레라무쏭,에르메스 운자르뎅아프레라무쏭,크리드 네롤리소바쥬,세르주루텐 라비에르쥐드페,,,
376,,오리베,데저트랜드오드퍼퓸,"소나무의 청량함이 건조하게 피어나는 곳, 사막. 그 담담함에 대한 향기",/product/오리베-데저트랜드-오-드-퍼퓸-75ml/2285/category/568/display/1/,오리베 데저트랜드오드퍼퓸,169000,75,"소나무,사막","소나무,사막",데저트랜드,오리베 데저트랜드,SWG컬렉션 오드더티,,,크리드 로얄메이페어,프레데릭말 프렌치러버
377,,오리베,밸리오브플라워스오드퍼퓸,"꽃이 만개한 5월, 따사로운 햇빛 속 로즈, 피오니, 바이올렛이 풍성하게 어울리는 향기",/product/오리베-밸리-오브-플라워스-오-드-퍼퓸-75ml/2286/category/568/display/1/,오리베 밸리오브플라워스오드퍼퓸,169000,75,"햇빛,로즈,피오니,바이올렛","햇빛,로즈,피오니",밸리오브플라워스,오리베 밸리오브플라워스,아쿠아디파르마 로사노빌레,딥디크 오로즈,프라고나르 로즈드메이,,
383,,에르메스,떼르데르메스오지브레오드퍼퓸,"잔 가득히 채워진 얼음, 자몽 가니쉬와 청량한 진 토닉을 연출하는 새콤 씁쓸한 프레시 시트러스",/product/에르메스-떼르-데르메스-오-지브레-오-드-퍼퓸/2624/category/568/display/1/,에르메스 떼르데르메스오지브레오드퍼퓸,187000,100,"얼음,자몽,진토닉,프레시,시트러스","얼음,자몽,진토닉,프레시,시트러스",떼르데르메스오지브레,에르메스 떼르데르메스오지브레,아틀리에 코롱포멜로파라디,메종프란시스커정 아쿠아셀레스티아,조말론 넥타린블로썸앤허니코롱,메종마르지엘라 언더더레몬트리,로이비 만다린앤샌달우드
387,,에르메스,르자르뎅드무슈리오드뚜왈렛,"호숫가 젖은 돌 틈새로 퍼지는 이슬 맺힌 풀 내음, 그 사이에 아로새겨진 금귤의 상큼함",/product/에르메스-르-자르뎅-드-무슈리-오-드-뚜왈렛/2493/category/568/display/1/,에르메스 르자르뎅드무슈리오드뚜왈렛,121000,50,"호수,이슬,맺힌,금귤,상큼","호수,이슬,금귤,상큼",르자르뎅드무슈리,에르메스 르자르뎅드무슈리,아쿠아디파르마 유자,,메종프란시스커정 아쿠아유니버셜,아틀리에 코롱클레망틴캘리포니아,트루사르디 돈나
388,,로에베,아우라핑크매그놀리아오드퍼퓸,"연분홍빛 목련 꽃봉오리가 바람에 한 점씩 떨어질 때 차분히 내려앉는, 살가운 시트러스-머스키",/product/로에베-아우라-핑크-매그놀리아-오-드-퍼퓸-50ml/2445/category/568/display/1/,로에베 아우라핑크매그놀리아오드퍼퓸,139000,50,"연분홍,목련,꽃봉오리,바람,시트러스,머스크","목련,꽃봉오리,바람,시트러스,머스크",아우라핑크매그놀리아,로에베 아우라핑크매그놀리아,메모 오션레더,,나르시소로드리게즈 포허,,프라고나르 매그놀리아
392,,산타마리아노벨라,로사가데니아오드코롱,"연하고 여린 장미, 그 위로 투명하도록 지나가는 머스크가 완성하는 맑고 깨끗한 향기",/product/산타마리아노벨라-로사-가데니아-오-드-코롱/2386/category/568/display/1/,산타마리아노벨라 로사가데니아오드코롱,199000,100,"로즈,머스크","로즈,머스크",로사가데니아오드코롱,산타마리아노벨라 로사가데니아오드코롱,딥디크 오로즈,프라고나르 로즈드메이,,프레데릭말 뮤스크라바줴,
393,,구딸파리,르쉐브르페이유오드뚜왈렛,"크리넥스 티슈향으로 유명한, 들판의 수선화와 풀꽃들의 음율같은 청아하고 순수한 향기",/product/구딸파리-르-쉐브르페이유-오-드-뚜왈렛-100ml/2369/category/568/display/1/,구딸파리 르쉐브르페이유오드뚜왈렛,198000,100,"크리넥스,티슈,들판,수선화,풀꽃,음율","들판,수선화,풀꽃",르쉐브르페이유,구딸파리 르쉐브르페이유,크리드 러브인화이트,,,,
394,,에르메스,H오드뚜왈렛,"에르메스 남자향수의 새로운 역사, 5월의 산뜻함이 잔뜩 배인 비누계열 스클라렌 향기",/product/에르메스-h24-오-드-뚜왈렛-50100ml/2359/category/568/display/1/,에르메스 H오드뚜왈렛,109000,50,"에르메스,남성,비누,스클라렌","비누,스클라렌",H,에르메스 H,메종마르지엘라 레이지선데이모닝,아쿠아디파르마 미르토디파나레아,,랄프로렌 폴로블루맨,아이젠버그 러브어페어옴므
395,,프라다,캔디키스오드퍼퓸,"나도 모르는 새 은근히 젖어, 내 마음을 차지한 바닐라의 달콤함",/product/프라다-캔디-키스-오-드-퍼퓸-5080ml/2355/category/568/display/1/,프라다 캔디키스오드퍼퓸,137000,50,바닐라,바닐라,캔디키스,프라다 캔디키스,바이레도 집시워터,,롤리타렘피카 옴므,나르시소로드리게즈 엉브레,톰포드 솔레이네쥬
396,,메종마르지엘라,뮤티니오드퍼퓸,"마르지엘라의 감각적 고급스러움, 지는 석양을 내리쬐는 튜베로즈와 캐시미어 우드의 조화",/product/메종-마르지엘라-뮤티니-오-드-퍼퓸-50ml/2346/category/568/display/1/,메종마르지엘라 뮤티니오드퍼퓸,150000,50,"감각,석양,튜베로즈,캐시미어,우드","감각,튜베로즈,우드",뮤티니,메종마르지엘라 뮤티니,에르메스 트윌리데르메스,,프레데릭말 카날플라워,바이레도 집시워터,바이레도 우드이모텔
398,,아쿠아디파르마,치노또디리구리아,이태리 남부의 따스한 햇살같은 시트러스가 마음을 어루만지는 평온함,/product/아쿠아-디-파르마-치노또-디-리구리아-75150ml/2261/category/568/display/1/,아쿠아디파르마 치노또디리구리아,155000,75,"이태리,남부,햇살,시트러스","햇살,시트러스",치노또디리구리아,아쿠아디파르마 치노또디리구리아,샤보 에뜨왈드룬,아쿠아디파르마 카멜리아,,,
399,,프라고나르,수이베무아오드뚜왈렛,"남자다운 라벤더 위로 부드럽게 내려앉은 바닐라, 자상한 남자에게 느껴지는 포근한 온기",/product/프라고나르-수이베무아-오-드-뚜왈렛-200ml/2254/category/568/display/1/,프라고나르 수이베무아오드뚜왈렛,120000,200,"남성,라벤더,바닐라,온기","라벤더,바닐라,온기",수이베무아,프라고나르 수이베무아,프라다 캔디키스,더디퍼런트컴퍼니 퓨어이브,퍼퓸드말리 갤러웨이,구찌 길티뿌르옴므,크리드 어벤투스
