,Unnamed: 0,brand,name,attribute,product_url,search_name,price,capacity,keyword,keyword_scent,new_name,search_name_1,1st_similar_perfume,2nd_similar_perfume,3rd_similar_perfume,4th_similar_perfume,5th_similar_perfume
401,,세르주루텐,르파티시프빠세오드퍼퓸,"천 년의 시간을 견딘 고목, 시간이 쌓여야만 느낄 수 있는 진중한 무게감",/product/세르주루텐-르-파티시프-빠세-오-드-퍼퓸-50ml/2190/category/568/display/1/,세르주루텐 르파티시프빠세오드퍼퓸,205000,50,"고목,무게",고목,르파티시프빠세,세르주루텐 르파티시프빠세,케네스콜 블루,,,,톰포드 코스타아주라
404,,에트로,화이트매그놀리아오드퍼퓸,"살결을 스치는 목련꽃잎처럼, 그 풍성하고 고소한 하얀 색의 아름다움",/product/에트로-화이트-매그놀리아-오-드-퍼퓸-100ml/2167/category/568/display/1/,에트로 화이트매그놀리아오드퍼퓸,180000,100,"살결,목련,꽃잎","목련,꽃잎",화이트매그놀리아,에트로 화이트매그놀리아,글로시에 글로시에유,프라고나르 매그놀리아,산타마리아노벨라 아이리스,프레드릭엠 오베드상,톰포드 솔레이네쥬
406,,구찌,블룸네타레디피오리오드퍼퓸,"구찌 블룸 정원, 신비로운 노란 달콤함을 불러일으키는 넥타린과 허니서클 향기",/product/구찌-블룸-네타레-디-피오리-오-드-퍼퓸-50ml/2157/category/568/display/1/,구찌 블룸네타레디피오리오드퍼퓸,132000,50,"블룸,정원,넥타린,허니서클","정원,넥타린,허니서클",블룸네타레디피오리,구찌 블룸네타레디피오리,구찌 블룸아쿠아디피오리,,,,
408,,누NOU,시크릿블랑오드퍼퓸,포도샴푸 향기가 하루종일 보랏빛 세상을 걷게 하는 몽환적인 설레임,/product/누nou-시크릿-블랑-오-드-퍼퓸-50ml/2144/category/568/display/1/,누NOU 시크릿블랑오드퍼퓸,50000,50,"포도,샴푸,종일,보라색,몽환,설레임","포도,샴푸",시크릿블랑,누NOU 시크릿블랑,조말론 와일드블루벨코롱,,조말론 다크앰버앤진저릴리코롱인텐스,,
409,,누NOU,체리블라썸오드퍼퓸,산정호수의 하얀 설눈처럼 쌓인 벚꽃의 싱그럽고도 은은한 향기,/product/누nou-체리블라썸-오-드-퍼퓸-50ml/2138/category/568/display/1/,누NOU 체리블라썸오드퍼퓸,50000,50,"호수,설눈,벚꽃","호수,설눈,벚꽃",체리블라썸,누NOU 체리블라썸,록시땅 체리블라썸,,,,
410,,누NOU,프리지아오드퍼퓸,신선하게 간 갈바넘과 쨍한 프리지아가 하루종일 곁에 감도는 뽀송함,/product/누nou-프리지아-오-드-퍼퓸-50ml/2132/category/568/display/1/,누NOU 프리지아오드퍼퓸,50000,50,"갈바넘,프리지아,종일","갈바넘,프리지아",프리지아,누NOU 프리지아,런던프로소디 페이퍼플라워팬오드코롱,딥디크 오프레지아,,조말론 잉글리쉬페어앤프리지아코롱,
411,,미스디올,앱솔루틀리블루밍오드퍼퓸,"밤을 입은 베리, 짙어진 피오니 꽃잎이 연출하는 고혹스러움",/product/미스디올-앱솔루틀리-블루밍-오-드-퍼퓸/2063/category/568/display/1/,미스디올 앱솔루틀리블루밍오드퍼퓸,224000,50,"베리,피오니,꽃잎","베리,피오니,꽃잎",앱솔루틀리블루밍,미스디올 앱솔루틀리블루밍,에트로 샨텅,,,산타마리아노벨라 아이리스,
412,,퍼퓸드말리,아탈리아,촉촉한 아이리스에 포근한 머스크의 귀족같은 차분함,/product/퍼퓸드말리-아탈리아-75ml/1965/category/568/display/1/,퍼퓸드말리 아탈리아,390000,75,"아이리스,머스크,귀족","아이리스,머스크,귀족",아탈리아,퍼퓸드말리 아탈리아,세르주루텐 끌레드머스크,나르시소로드리게즈 포허,,프레데릭말 이리스뿌드르,프레데릭말 뮤스크라바줴
419,,버버리,런던우먼오드퍼퓸,졸업반에 찾아온 긴생머리의 선배님이 풍길법한 우아한 허니써클 향기,/product/버버리-런던-우먼-오-드-퍼퓸/1793/category/568/display/1/,버버리 런던우먼오드퍼퓸,108000,100,"졸업,생머리,선배,허니서클",허니서클,런던우먼,버버리 런던우먼,구찌 블룸네타레디피오리,,,,
422,,아닉구딸,엉마뗑도하쥬,비 맞은 가드니아가 잔뜩 피어있는 정원을 걷고 있는 은은한 향기,/product/아닉구딸-엉-마뗑-도하쥬-100ml/1697/category/568/display/1/,아닉구딸 엉마뗑도하쥬,198000,100,"가드니아,정원","가드니아,정원",엉마뗑도하쥬,아닉구딸 엉마뗑도하쥬,데렉램10크로스비 러브디럭스,,,,구찌 플로라고져스가드니아
424,,겔랑,라쁘띠로브느와르오드퍼퓸,석양진 연회장에서 퍼지는 고급스러운 체리와 로즈의 향기,/product/겔랑-라쁘띠-로브-느와르-오-드-퍼퓸-100ml/1676/category/568/display/1/,겔랑 라쁘띠로브느와르오드퍼퓸,150000,100,"석양,연회장,체리,로즈","체리,로즈",라쁘띠로브느와르,겔랑 라쁘띠로브느와르,나르시소로드리게즈 루즈,프라고나르 로즈드메이,딥디크 오로즈,,
425,,데렉램10크로스비,드렁크온유스오드퍼퓸,사과샴푸향을 풍기며 뛰어가는 대학교2학년의 근처에서 날법한 산뜻한 향기,/product/데렉-램-10-크로스비-드렁크-온-유스-오-드-퍼퓸-1050100ml/1667/category/568/display/1/,데렉램10크로스비 드렁크온유스오드퍼퓸,37000,10,"사과,샴푸,대학교","사과,샴푸",드렁크온유스,데렉램10크로스비 드렁크온유스,살바도르 달리달리라이트,,,세르주루텐 뉘드셀로판,더디퍼런트컴퍼니 카샨로즈
426,,빅토리아,시크릿밤쉘오드퍼퓸,해외 빅시매장에서 판매량 1등을 다투는 여자향수,/product/빅토리아-시크릿-밤쉘-오-드-퍼퓸-50ml/1654/category/568/display/1/,빅토리아 시크릿밤쉘오드퍼퓸,95000,50,"해외,여성",,시크릿밤쉘,빅토리아 시크릿밤쉘,랑콤 미라클,랄프로렌 폴로랄프우먼,,,
427,,장폴고티에,스캔들오드퍼퓸,파티 한가운데의 주인공 같은 달콤하고 센슈얼한 부드러움,/product/장-폴-고티에-스캔들-오-드-퍼퓸-305080ml/1653/category/568/display/1/,장폴고티에 스캔들오드퍼퓸,90000,30,"파티,센슈얼,부드러움",부드러움,스캔들,장폴고티에 스캔들,나르시소로드리게즈 퓨어머스크,랄프로렌 폴로,시슬리 오뒤스와르,롤리타렘피카 옴므,
429,,구찌,길티블랙우먼오드뚜왈렛,"라즈베리와 파츌리의 은은한 모던함이, 퇴근길을 서두르는 그녀가 지나는 길에 잔잔한 흔적을 그리는 향기",/product/구찌-길티블랙-우먼-오-드-뚜왈렛/1614/category/568/display/1/,구찌 길티블랙우먼오드뚜왈렛,120000,50,"라즈베리,파츌리,모던,퇴근길,그녀","라즈베리,파츌리,모던",길티블랙우먼,구찌 길티블랙우먼,프레데릭말 포트레이트오브어레이디,,,톰포드 비터피치,
432,,구찌,엔비미오드뚜왈렛,리치와 파인애플이 상큼달콤하게 섞인 사랑스럽고 경쾌한 꽃향기,/product/구찌-엔비미-오-드-뚜왈렛-3050ml/1574/category/568/display/1/,구찌 엔비미오드뚜왈렛,76000,30,"리치,파인애플,상큼","리치,파인애플,상큼",엔비미,구찌 엔비미,아틀리에 코롱클레망틴캘리포니아,랑콤 미라클,트루사르디 돈나,,메종프란시스커정 아쿠아유니버셜
436,,돌체앤가바나,뿌르옴므new,"단종 후 한달전에 재출시, 유행타지 않는 전 세계적 남자향수",/product/돌체앤가바나-뿌르옴므-new-75125ml/1526/category/568/display/1/,돌체앤가바나 뿌르옴므new,91000,75,"전세계,남성",,뿌르옴므new,돌체앤가바나 뿌르옴므new,크리드 어벤투스,구찌 길티뿌르옴므,,크리드 실버마운틴워터,퍼퓸드말리 갤러웨이
442,,록시땅,체리블라썸오드뚜왈렛,식었던 마음도 다시 뛰게 만드는 투명한 분홍빛 벚꽃 내음,/product/록시땅-체리블라썸-오-드-뚜왈렛-75ml/1461/category/568/display/1/,록시땅 체리블라썸오드뚜왈렛,75000,75,"분홍,벚꽃",벚꽃,체리블라썸,록시땅 체리블라썸,에스티로더 모던뮤즈,,,더디퍼런트컴퍼니 카샨로즈,
447,,발렌시아가,플로라보타니카오드퍼퓸,서늘함을 품고 나타난 로즈와 카네이션의 시크한 여성스러움,/product/발렌시아가-플로라-보타니카-오-드-퍼퓸-3050100ml/1349/category/568/display/1/,발렌시아가 플로라보타니카오드퍼퓸,180000,30,"로즈,카네이션,시크,여성","로즈,카네이션",플로라보타니카,발렌시아가 플로라보타니카,크리드 어벤투스포허,프라고나르 로즈드메이,딥디크 오로즈,디올 조이바이디올,랄프로렌 폴로랄프우먼
450,,겔랑,미츠코오드뚜왈렛,"100년을 이어온 겔랑 하우스의 명작, 고혹스런 자스민의 자태에 매료될 수 밖에 없는 향기",/product/겔랑-미츠코-오-드-뚜왈렛-93ml/2233/category/568/display/1/,겔랑 미츠코오드뚜왈렛,97000,93,"자스민,매료",자스민,미츠코,겔랑 미츠코,랑세 유제니,,,메모 그라나다,
451,,겔랑,랭스땅뜨드겔랑오드뚜왈렛,단발에 잘 어울리는 친밀한 허니앰버의 소프트한 구어망드 파우더 향기,/product/겔랑-랭스땅뜨-드-겔랑-오드뚜왈렛-50100ml/1758/category/568/display/1/,겔랑 랭스땅뜨드겔랑오드뚜왈렛,148000,50,"단발,허니,앰버,소프트,구어망드,파우더","허니,앰버,소프트,구어망드,파우더",랭스땅뜨드겔랑,겔랑 랭스땅뜨드겔랑,아이젠버그 르페쉬에옴므,에르메스 오드메르베이,,디올 화렌화이트,불가리 쁘띠마망
454,,불리,오트리쁠목욕하는여인,"어쩌면 순연에 가장 가까울, 샤워 후의 수증기가 살갗에 흡수된 극강의 부드러움과 순수함",/product/불리-오-트리쁠-목욕하는-여인-75ml/2310/category/568/display/1/,불리 오트리쁠목욕하는여인,300000,75,"순연,샤워,수증기,살결,부드러움","순연,수증기,부드러움",오트리쁠목욕하는여인,불리 오트리쁠목욕하는여인,에트로 우다이푸르,시슬리 오뒤스와르,랄프로렌 폴로,,
455,,불리,오트리쁠밀로의비너스,섬세한 자스민과 풍성한 매그놀리아가 비누처럼 순하게 흐려지는 순간 달콤하게 피어나는 앰버 향기,/product/불리-오-트리쁠-밀로의-비너스-75ml/2382/category/568/display/1/,불리 오트리쁠밀로의비너스,230000,75,"자스민,매그놀리아,비누,앰버","자스민,매그놀리아,비누,앰버",오트리쁠밀로의비너스,불리 오트리쁠밀로의비너스,아쿠아디파르마 미르토디파나레아,메종마르지엘라 레이지선데이모닝,산타마리아노벨라 엔젤디피렌체오드코롱,랑세 유제니,
456,,불리,오트리쁠목수성요셉,일렁이는 바닐라와 히노끼의 편백향이 나무기둥 사이로 천천히 스며드는 소프트-우디 향,/product/불리-오-트리쁠-목수-성-요셉-75ml/2390/category/568/display/1/,불리 오트리쁠목수성요셉,230000,75,"바닐라,히노끼,편백나무,소프트,우드","바닐라,히노끼,편백나무,소프트,우드",오트리쁠목수성요셉,불리 오트리쁠목수성요셉,바이레도 집시워터,,,로에베 우먼,
457,,불리,오트리쁠그랑드오달리스크,"남자의 체취가 가을 낙엽에 닿아 흐려진 듯, 스파이시한 인센스가 연출하는 시크한 관능미",/product/불리-오-트리쁠-그랑드-오달리스크-75ml/2425/category/568/display/1/,불리 오트리쁠그랑드오달리스크,230000,75,"남성,체취,가을,낙엽,스파이시,센스,시크,관능","체취,가을,낙엽,스파이시",오트리쁠그랑드오달리스크,불리 오트리쁠그랑드오달리스크,버버리 런던포맨,,,불가리 맨인블랙,크리드 어벤투스포허
458,,불리,오트리쁠루브르전갈좌의요정,"정원의 신비로운 물소리를 따라 흐르는 풀 향기와 젖은 연꽃, 앰버에서 풍기는 옅은 살 내음",/product/불리-오-트리쁠-루브르-전갈좌의-요정-75ml/2484/category/568/display/1/,불리 오트리쁠루브르전갈좌의요정,230000,75,"정원,소리,연꽃,앰버","정원,연꽃,앰버",오트리쁠루브르전갈좌의요정,불리 오트리쁠루브르전갈좌의요정,크리드 네롤리소바쥬,,,,아이젠버그 르페쉬에옴므
459,,조말론,로즈블러쉬코롱,"리치 과즙을 한껏 머금은 채 수줍음에 볼 밝히는, 선홍빛 두 뺨을 가진 여린 장미 향기",/product/조말론-로즈-블러쉬-코롱-50ml/2403/category/568/display/1/,조말론 로즈블러쉬코롱,155000,50,"리치,과즙,수줍음,선홍빛,로즈","리치,과즙,로즈",로즈블러쉬코롱,조말론 로즈블러쉬코롱,런던프로소디 트레비로즈오드코롱,프라고나르 로즈드메이,딥디크 오로즈,더디퍼런트컴퍼니 카샨로즈,
460,,조말론,자스민삼박앤메리골드코롱인텐스,"노란 메리골드 위로 아늑한 햇살처럼 쏟아지는 바닐라, 조말론 인텐스 라인 여성 베스트셀러",/product/조말론-자스민-삼박-앤-메리골드-코롱-인텐스-50ml/2273/category/568/display/1/,조말론 자스민삼박앤메리골드코롱인텐스,218000,50,"메리골드,햇살,바닐라,여성","메리골드,햇살,바닐라",자스민삼박앤메리골드코롱인텐스,조말론 자스민삼박앤메리골드코롱인텐스,프라다 캔디키스,디올 조이바이디올,아쿠아디파르마 바닐라,랑콤 미라클,
462,,아이젠버그,루즈앤느와르오드퍼퓸,새빨간 립스틱의 관능미와 느와르 식의 흑백이 자아내는 관능미,/product/아이젠버그-루즈-앤-느와르-오-드-퍼퓸/2388/category/568/display/1/,아이젠버그 루즈앤느와르오드퍼퓸,84700,30,"립스틱,관능,느와르,흑백",,루즈앤느와르,아이젠버그 루즈앤느와르,디올 쟈도르(자도르),프레드릭엠 오베드상,,크리드 어벤투스포허,
463,,메종마르지엘라,레플리카베스트셀러컬렉션EDT,메종 마르지엘라의 베스트셀러 EDT 2ml 10종을 한번에 즐길 수 있는 메모리 박스,/product/메종-마르지엘라-레플리카-베스트셀러-컬렉션-edt/2507/category/568/display/1/,메종마르지엘라 레플리카베스트셀러컬렉션EDT,67900,210,"마리지엘라,메모리박스",,레플리카베스트셀러컬렉션EDT,메종마르지엘라 레플리카베스트셀러컬렉션EDT,케네스콜 블루,,,,톰포드 코스타아주라
465,,산타마리아노벨라,포푸리오드코롱,"마르지 않은 땅 위 텐트를 친 야영, 다양한 나무냄새와 진한 허브가 아로마틱하게 퍼지는 밤",/product/산타마리아노벨라-포푸리-오-드-코롱-100ml/2436/category/568/display/1/,산타마리아노벨라 포푸리오드코롱,195000,100,"텐트,야영,나무,허브,아로마","나무,허브,아로마",포푸리오드코롱,산타마리아노벨라 포푸리오드코롱,조말론 인센스앤세드라코롱인텐스,,,본드 넘버나인차이나타운,딥디크 오모헬리
466,,산타마리아노벨라,멜로그라노오드코롱,"하얀 비누 거품을 가득 머금은 일랑일랑 꽃이 오크모스, 장미, 파츌리를 천천히 삼켜내는 포근함",/product/산타마리아노벨라-멜로-그라노-오-드-코롱/2434/category/568/display/1/,산타마리아노벨라 멜로그라노오드코롱,137000,50,"비누,거품,오크모스,로즈,파츌리","비누,오크모스,로즈,파츌리",멜로그라노오드코롱,산타마리아노벨라 멜로그라노오드코롱,에르메스 트윌리데르메스오프와브레,딥디크 오로즈,메종마르지엘라 레이지선데이모닝,아쿠아디파르마 미르토디파나레아,프레데릭말 포트레이트오브어레이디
471,,아쿠아디파르마,산달로오드퍼퓸,"맨하탄 증권가에서 일처리가 가장 뛰어난, 잘 차려입은 라벤더 스킨 내음의 이지적인 섹시함",/product/아쿠아-디-파르마-산달로-오-드-퍼퓸-100ml/2266/category/568/display/1/,아쿠아디파르마 산달로오드퍼퓸,310000,100,"맨하탄,증권,라벤더,스킨,지적","라벤더,스킨",산달로,아쿠아디파르마 산달로,누NOU 이클립스,퍼퓸드말리 세들리,메종프란시스커정 아쿠아셀레스티아,입생로랑 리브르,프라다 루나로사카본
472,,프라고나르,에밀,"동화 속 공주가 산책 중 흘린 하얀 손수건, 그곳에서 풍기는 맑고 포근한 비누내음",/product/프라고나르-에밀-3060100200ml/2253/category/568/display/1/,프라고나르 에밀,78000,100,"동화,공주,산책,손수건,비누",비누 ,에밀,프라고나르 에밀,메종마르지엘라 레이지선데이모닝,아쿠아디파르마 미르토디파나레아,산타마리아노벨라 프리지아오드코롱,프라다 레스인퓨전디미모사,
473,,세르주루텐,쉔느(쉔)오드퍼퓸,4B 연필로 사각사각 채운 편지 위로 쏟아진 럼이 흑연과 섞여 내는 청량한 묵직함,/product/세르주루텐-쉔느-쉔-오-드-퍼퓸-100ml/2243/category/568/display/1/,세르주루텐 쉔느(쉔)오드퍼퓸,465000,100,"연필,채운,편지,흑연",흑연,쉔느(쉔),세르주루텐 쉔느(쉔),케네스콜 블루,,,,톰포드 코스타아주라
474,,세르주루텐,루브오드퍼퓸,"체리 사탕이 산산조각 날 때, 유리 조각이 크리스탈이 되어 날카롭게 퍼지는 아름다움",/product/세르주루텐-루브-오-드-퍼퓸-100ml/2242/category/568/display/1/,세르주루텐 루브오드퍼퓸,465000,100,"체리,사탕,유리,크리스탈","체리,사탕,유리",루브,세르주루텐 루브,본드 넘버나인차이나타운,,톰포드 로스트체리,프라다 캔디글로스,나르시소로드리게즈 루즈
475,,구찌,블룸암브로시아디피오리오드퍼퓸,노을을 삼킨 로즈와 튜베로즈 향기,/product/구찌-블룸-암브로시아-디-피오리-오-드-퍼퓸-30ml/2159/category/568/display/1/,구찌 블룸암브로시아디피오리오드퍼퓸,115000,30,"노을,로즈,튜베로즈","로즈,튜베로즈",블룸암브로시아디피오리,구찌 블룸암브로시아디피오리,프라고나르 로즈드메이,딥디크 오로즈,,,프레데릭말 카날플라워
476,,누NOU,이클립스오드뚜왈렛,섬세한 남자의 스킨 향기가 상대방에게 무한한 신뢰감을 주는 지적인 미,/product/누nou-이클립스-오-드-뚜왈렛-50ml/2155/category/568/display/1/,누NOU 이클립스오드뚜왈렛,50000,50,"남성,스킨,신뢰,지적",스킨,이클립스,누NOU 이클립스,스테파니브루진 마이젠틀맨,퍼퓸드말리 페가수스,프라다 루나로사카본,랄프로렌 폴로블루맨,장폴고티에 르보
477,,디올,자도르인피니심오드퍼퓸,"쟈도르를 감싸안은 튜베로즈, 그 하얀 풍성함에서 연출되는 고급스러움",/product/디올-자도르-인피니심-오-드-퍼퓸-50100ml/2153/category/568/display/1/,디올 자도르인피니심오드퍼퓸,168000,50,"자도르,튜베로즈,고급","자도르,튜베로즈,고급",자도르인피니심,디올 자도르인피니심,프레데릭말 카날플라워,,구찌 블룸,크리드 플러리시모,르라보 리스
479,,누NOU,자스민오드퍼퓸,밤 중의 별처럼 빛나듯이 피어난 자스민의 싱그러움,/product/누nou-자스민-오-드-퍼퓸-50ml/2137/category/568/display/1/,누NOU 자스민오드퍼퓸,50000,50,"별,자스민",자스민,자스민,누NOU 자스민,겔랑 미츠코,랑세 유제니,,메모 그라나다,
481,,돌체 앤 가바나,레드오드뚜왈렛,잔잔한 꽃비누내음처럼 부드러운 알데하이드 노트의 정수,/product/돌체-앤-가바나-레드-오-드-뚜왈렛-100ml/2126/category/568/display/1/,돌체 앤 가바나 레드오드뚜왈렛,150000,100,"비누,알데하이드,정수","비누,알데하이드",레드,돌체 앤 가바나 레드,아쿠아디파르마 미르토디파나레아,메종마르지엘라 레이지선데이모닝,산타마리아노벨라 프리지아오드코롱,,프라다 레스인퓨전디미모사
482,,롤리타렘피카,롤리타랜드오드퍼퓸,잔상처럼 여운이 길게 남는 베리와 자스민의 달콤함 여성미,/product/롤리타-렘피카-롤리타-랜드-오-드-퍼퓸-4080ml/2062/category/568/display/1/,롤리타렘피카 롤리타랜드오드퍼퓸,91000,40,"여운,베리,자스민,여성미","베리,자스민",롤리타랜드,롤리타렘피카 롤리타랜드,세르주루텐 라를르지외즈,,,랑세 유제니,메모 그라나다
484,,세르주루텐,베티버오리엔탈오드퍼퓸,"진지한 연인사이, 그 무르익어가는 깊이처럼 서로를 더욱 신뢰하게 하는 베티버 향기",/product/세르주루텐-베티버-오리엔탈-오-드-퍼퓸-50ml/1956/category/568/display/1/,세르주루텐 베티버오리엔탈오드퍼퓸,205000,50,"연인,깊이,신뢰,베티버",베티버,베티버오리엔탈,세르주루텐 베티버오리엔탈,딥디크 베티베리오,,크리드 오리지널베티버,,겔랑 베티버
486,,티에리,뮈글러엔젤오드퍼퓸,"유혹의 정석, 대담하게 유혹하는 달콤 아찔 플럼-바닐라",/product/티에리-뮈글러-엔젤-오-드-퍼퓸-50ml/1919/category/568/display/1/,티에리 뮈글러엔젤오드퍼퓸,120000,50,"유혹,달콤,바닐라","달콤,바닐라",뮈글러엔젤,티에리 뮈글러엔젤,프라다 패러독스,,아이젠버그 조즈옴므,,퍼퓸드말리 헤로드
488,,존바바토스,닉조나스블루오드뚜왈렛,민트와 소냐기향이 가득한 숲속의 스킨내음,/product/존바바토스-닉-조나스-블루-오-드-뚜왈렛-75125ml/1807/category/568/display/1/,존바바토스 닉조나스블루오드뚜왈렛,86000,75,"민트,소나기,숲,스킨","민트,소나기,숲,스킨",닉조나스블루,존바바토스 닉조나스블루,퍼퓸드말리 세들리,,로이비 만다린앤샌달우드,,랄프로렌 폴로블루맨
489,,존바바토스,닉조나스실버오드뚜왈렛,파츌리에 젖은 하얀 와이셔츠의 뽀송한 성숙함,/product/존바바토스-닉-조나스-실버-오-드-뚜왈렛-75125-ml/1806/category/568/display/1/,존바바토스 닉조나스실버오드뚜왈렛,86000,75,"파츌리,와이셔츠,성숙","파츌리,성숙",닉조나스실버,존바바토스 닉조나스실버,랄프로렌 폴로우먼,톰포드 비터피치,크리드 플러리시모,,세르주루텐 로
490,,발렌티노,발렌티나블러쉬오드퍼퓸,달콤한 체리향과 화사한 로즈의 풍미에 스웨이드의 묵직함을 담아낸 향기,/product/발렌티노-발렌티나-블러쉬-오-드-퍼퓸-5080ml/1789/category/568/display/1/,발렌티노 발렌티나블러쉬오드퍼퓸,188000,50,"체리,스웨이드,달콤,로즈","체리,스웨이드,달콤,로즈",발렌티나블러쉬,발렌티노 발렌티나블러쉬,본드 넘버나인차이나타운,프라고나르 로즈드메이,아이젠버그 조즈옴므,나르시소로드리게즈 루즈,
492,,끌로에,압솔뤼퍼퓸,센티폴리아 바디크림을 은은하게 바른듯한 담백하고 고급스러운 여성향수,/product/끌로에-압솔뤼-퍼퓸-305075ml/1733/category/568/display/1/,끌로에 압솔뤼퍼퓸,109000,30,"고급,여성",고급,압솔뤼퍼퓸,끌로에 압솔뤼퍼퓸,디올 쟈도르(자도르),,랑콤 미라클,,랄프로렌 폴로랄프우먼
493,,메종마르지엘라,레플리카어크로스샌드,한약방의 감초가 생각나는 마른사막 위에 펼쳐진 오리엔탈 서커스,/product/메종-마르지엘라-레플리카-어크로스-샌드-100ml/1730/category/568/display/1/,메종마르지엘라 레플리카어크로스샌드,250000,100,"한약방,감초,사막,오리엔탈","한약방,감초,사막",레플리카어크로스샌드,메종마르지엘라 레플리카어크로스샌드,오리베 데저트랜드,장폴고티에 클래식,,,
494,,메종마르지엘라,레플리카댄싱온더문,밤하늘의 달빛아래 춤추는 선녀의 옷자락 같은 화이트플로럴 향기,/product/메종-마르지엘라-레플리카-댄싱-온-더-문-100ml/1729/category/568/display/1/,메종마르지엘라 레플리카댄싱온더문,250000,100,"밤하늘,달빛,선녀,화이트플로럴","달빛,화이트플로럴",레플리카댄싱온더문,메종마르지엘라 레플리카댄싱온더문,메모 그라나다,,,,
495,,존바바토스,다크레블라이더오드뚜왈렛,운동한 후의 체취같은 섹시한 잔향이 레더재킷의 안단과 어울린 포근한 향기,/product/존바바토스-다크레블-라이더-오-드-뚜왈렛-125ml/1725/category/568/display/1/,존바바토스 다크레블라이더오드뚜왈렛,119000,125,"섹시,레더,재킷",레더,다크레블라이더,존바바토스 다크레블라이더,프레데릭말 뮤스크라바줴,장폴고티에 르말,아이젠버그 르페쉬에옴므,킬리안 블랙팬텀,
502,,아이젠버그,르페쉬에우먼,"살짝 트인 스커트 사이로 드러난 살결처럼, 과하지 않게 부드러운 섹시함과 센슈얼의 중간",/product/아이젠버그-르페쉬에-우먼-3050100ml/1520/category/568/display/1/,아이젠버그 르페쉬에우먼,84700,30,"살결,센슈얼,섹시",,르페쉬에우먼,아이젠버그 르페쉬에우먼,프레데릭말 뮤스크라바줴,롤리타렘피카 옴므,장폴고티에 르말,아이젠버그 르페쉬에옴므,톰포드 솔레이네쥬
504,,에스티로더,모던뮤즈오드퍼퓸,살랑거리는 분홍 스커트처럼 내 마음을 들었다 놨다 하는 플로럴,/product/에스티로더-모던뮤즈-오-드-퍼퓸-50ml/1417/category/568/display/1/,에스티로더 모던뮤즈오드퍼퓸,132000,50,"분홍,플로럴",플로럴,모던뮤즈,에스티로더 모던뮤즈,록시땅 체리블라썸,메종마르지엘라 플라워마켓,,킬리안 우먼인골드,
506,,케네스콜,맨카인드오드뚜왈렛,달콤하고 분위기 있는 시더우드,/product/케네스콜-맨카인드-오-드-뚜왈렛-100ml/1290/category/568/display/1/,케네스콜 맨카인드오드뚜왈렛,57000,100,"시더우드,달콤","시더우드,달콤",맨카인드,케네스콜 맨카인드,아이젠버그 조즈옴므,,바이레도 발다프리크,,몽블랑 레전드나이트
507,,케네스콜,블루오드뚜왈렛,빙하속에 묻힌 파인애플을 먹는 것 같은 차갑고 시크한 느낌의 캐쥬얼향수,/product/케네스콜-블루-오-드-뚜왈렛-100ml/1269/category/568/display/1/,케네스콜 블루오드뚜왈렛,95000,100,"얼음,파인애플,시크,캐주얼","얼음,파인애플",블루,케네스콜 블루,살바도르 달리오드루비립스,,메종프란시스커정 아쿠아셀레스티아,,
